"","lon","lat","Dataset","Loc_ID","Area_km","S","N","min_DBH_cm","GPP","ET","ANN_T","WARM_T","ISO_T","MIN_P","P_SEAS","ALT_DIF","ELONG","ISL_LS","ISL_ST","ISL_DIS","HABITAT","REALM","REALM_PK","DAT_TYPE","Source"
"270",-73.835,-4.845,"CoelhodeSouza_Amazon","JEN-14",0.005,32,202,10,28714,12639.4169921875,26.8,27.1,82,449,20,19,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"271",-73.655,-4.845,"CoelhodeSouza_Amazon","JEN-15",0.005,69,283,10,27842,12591,26.7,27.1,83,451,22,21,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"272",-58.465,-10.475,"CoelhodeSouza_Amazon","JFR-01",0.0093,39,472,10,25780,13551.9169921875,24.7,25.3,68,31,75,29,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"273",-58.485,-10.545,"CoelhodeSouza_Amazon","JFR-02",0.00525,31,241,10,25370,13298.75,24.7,25.3,69,29,75,31,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"274",-58.525,-10.475,"CoelhodeSouza_Amazon","JFR-03",0.01025,45,573,10,25720,13566.1669921875,24.8,25.4,67,31,75,35,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"275",-58.475,-10.475,"CoelhodeSouza_Amazon","JFR-04",0.01,40,569,10,25760,13545.3330078125,24.7,25.3,68,32,74,39,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"276",-58.485,-10.465,"CoelhodeSouza_Amazon","JFR-06",0.01,37,507,10,25498,13356.8330078125,24.8,25.4,68,32,75,40,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"277",-58.495,-10.475,"CoelhodeSouza_Amazon","JFR-07",0.01025,36,476,10,25866,13501.6669921875,24.9,25.5,68,32,75,53,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"278",-58.495,-10.465,"CoelhodeSouza_Amazon","JFR-08",0.01,34,505,10,25706,13628.9169921875,24.9,25.5,68,32,75,33,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"279",-58.505,-10.465,"CoelhodeSouza_Amazon","JFR-09",0.00975,32,604,10,25678,13577.1669921875,24.8,25.4,67,31,75,40,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"280",-52.185,-0.885,"CoelhodeSouza_Amazon","JRI-01",0.01,133,666,10,22223,10891.25,26.8,27.5,82,210,51,99,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"281",-76.205,-2.125,"CoelhodeSouza_Amazon","JUY-01",0.01,208,620,10,30611,13039.5,25.6,26.1,86,604,16,39,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
